food,service,ambiance,pricing,hygiene,miscelleanous
"""texture""",,,,,
"""potatoes""",,,,,
"""fries""",,,,,
"""ravoli""",,,,,
"""chicken""",,,,,
"""food""",,,,,
"""cranberry""",,,,,
"""deserts""",,,,,
"""main course""",,,,,
"""appetizers""",,,,,
"""desert""",,,,,
"""appetizer""",,,,,
"""indian""",,,,,
"""italian""",,,,,
"""oriental""",,,,,
"""japanese""",,,,,
"""wings""",,,,,
"""chinese""",,,,,
"""noodles""",,,,,
"""rice""",,,,,
"""pizza""",,,,,
"""pasta""",,,,,
"""burrito""",,,,,
"""cake""",,,,,
"""drinks""",,,,,
"""drink""",,,,,
"""cocktail""",,,,,
"""cocktails""",,,,,
"""mocktails""",,,,,
"""mocktail""",,,,,
"""beer""",,,,,
"""mexican""",,,,,
"""taco""",,,,,
"""tacos""",,,,,
"""burger""",,,,,
"""burgers""",,,,,
"""sides""",,,,,
"""salmon""",,,,,
"""fish""",,,,,
"""lobster""",,,,,
"""crab""",,,,,
"""crabs""",,,,,
"""beef""",,,,,
"""pork""",,,,,
"""lamb""",,,,,
"""sashimi""",,,,,
"""portions""",,,,,
"""portion""",,,,,
"""bar""",,,,,
"""shrimp""",,,,,
"""sizzler""",,,,,
"""sizzlers""",,,,,
"""momos""",,,,,
"""momo""",,,,,
"""icecreams""",,,,,
"""icecream""",,,,,
"""rib""",,,,,
"""ribs""",,,,,
"""desserts""",,,,,
"""dessert""",,,,,
"""garlic""",,,,,
"""sauce""",,,,,
"""salad""",,,,,
"""meat""",,,,,
"""hummus""",,,,,
"""pita""",,,,,
"""bread""",,,,,
"""soup""",,,,,
"""soups""",,,,,
"""duck""",,,,,
"""chowmein""",,,,,
"""beers""",,,,,
"""salt""",,,,,
"""batter""",,,,,
"""sea food""",,,,,
"""chocolate""",,,,,
"""milkshakes""",,,,,
"""milkshake""",,,,,
"""milk""",,,,,
"""cream""",,,,,
"""sugar""",,,,,
"""honey""",,,,,
"""potato""",,,,,
"""lunch""",,,,,
"""buffet""",,,,,
"""dinner""",,,,,
"""breakfast""",,,,,
"""snacks""",,,,,
"""brunch""",,,,,
"""turkey""",,,,,
"""rolls""",,,,,
"""pho""",,,,,
"""meat""",,,,,
"""omelette""",,,,,
"""omelettes""",,,,,
"""omelete""",,,,,
"""omeletes""",,,,,
"""eggs""",,,,,
"""egg""",,,,,
"""coffee""",,,,,
"""tea""",,,,,
"""mussels""",,,,,
"""mussel""",,,,,
"""wine""",,,,,
"""vodka""",,,,,
"""rum""",,,,,
"""gin""",,,,,
"""tonic""",,,,,
"""martini""",,,,,
"""sushi""",,,,,
"""spices""",,,,,
"""spice""",,,,,
"""thai""",,,,,
"""sandwich""",,,,,
"""meatballs""",,,,,
"""meatball""",,,,,
"""meatloaf""",,,,,
"""breadloaf""",,,,,
"""wrap""",,,,,
"""tuna""",,,,,
"""bagels""",,,,,
"""bagel""",,,,,
"""cheese""",,,,,
"""cream""",,,,,
"""curry""",,,,,
"""crostini""",,,,,
"""salads""",,,,,
"""bacon""",,,,,
"""khao soi""",,,,,
"""spinach""",,,,,
"""avocado""",,,,,
"""flavour""",,,,,
"""flavours""",,,,,
"""crepe""",,,,,
"""crepes""",,,,,
"""chips""",,,,,
"""mushrooms""",,,,,
"""mushroom""",,,,,
"""corn""",,,,,
"""mojito""",,,,,
"""mojitos""",,,,,
"""lobster""",,,,,
"""risotto""",,,,,
"""filet""",,,,,
"""fillet""",,,,,
"""cheeseburger""",,,,,
"""mayo""",,,,,
"""mayonnaise""",,,,,
"""peanuts""",,,,,
"""peanut""",,,,,
"""dressing""",,,,,
"""water""",,,,,
"""seafood""",,,,,
"""barbeque""",,,,,
"""bbq""",,,,,
"""shawarma""",,,,,
"""shwarma""",,,,,
"""spaghetti""",,,,,
"""pancakes""",,,,,
"""starter""",,,,,
"""starters""",,,,,
"""roti""",,,,,
"""naan""",,,,,
"""kulcha""",,,,,
"""paratha""",,,,,
"""lassi""",,,,,
"""chaas""",,,,,
"""kulfi""",,,,,
"""falooda""",,,,,
"""pav bhaji""",,,,,
"""dosa""",,,,,
"""idli""",,,,,
"""sabji""",,,,,
"""vegetables""",,,,,
"""vegetable""",,,,,
"""salad""",,,,,
"""refried beans""",,,,,
"""meal""",,,,,
"""shrimp""",,,,,
"""nachos""",,,,,
"""subway sub""",,,,,
"""vegetables""",,,,,
"""tuna sashimi""",,,,,
"""pizza""",,,,,
"""hamburgers""",,,,,
"""taco""",,,,,
"""entrée""",,,,,
"""tea""",,,,,
"""biscuits""",,,,,
"""chipotle ranch sauce""",,,,,
"""cashew cream""",,,,,
"""brisket""",,,,,
"""pulled pork""",,,,,
"""meat""",,,,,
"""calamari""",,,,,
"""fondue""",,,,,
"""guacamole""",,,,,
"""bread""",,,,,
"""butter""",,,,,
"""buffet""",,,,,
"""strawberry""",,,,,
"""chicken""",,,,,
"""mushroom""",,,,,
"""bagels""",,,,,
"""gyros""",,,,,
"""salsa""",,,,,
"""soup""",,,,,
"""fish""",,,,,
"""oysters""",,,,,
"""pita""",,,,,
"""lobster""",,,,,
"""hot dog""",,,,,
"""bland""",,,,,
"""flavourless""",,,,,
"""margaritas""",,,,,
"""beef""",,,,,
"""egg""",,,,,
"""pasta""",,,,,
"""hummus""",,,,,
"""chinese""",,,,,
"""apple""",,,,,
"""beer""",,,,,
"""drinks""",,,,,
"""sugary""",,,,,
"""rice""",,,,,
"""kitchen""",,,,,
"""entrée""",,,,,
"""papad""",,,,,
"""masala papad""",,,,,
"""masala""",,,,,
"""vietnamese""",,,,,
"""thai""",,,,,
"""lebanese""",,,,,
"""oriental""",,,,,
"""bengali""",,,,,
"""sweets""",,,,,
"""cuisine""",,,,,
"""sake""",,,,,
"""pie""",,,,,
"""pies""",,,,,
"""seltzer""",,,,,
"""quantity""",,,,,
"""noodle""",,,,,
"""noodles""",,,,,
"""dahi""",,,,,
"""cheesecubes""",,,,,
"""cheesecubes""",,,,,
"""garnishing""",,,,,
"""garnished""",,,,,
"""chipotle""",,,,,
"""ranch""",,,,,
"""sauce""",,,,,
"""dal""",,,,,
"""roti""",,,,,
"""paneer""",,,,,
"""seafood""",,,,,
"""lobster""",,,,,
"""cashew""",,,,,
"""cream""",,,,,
"""naan""",,,,,
"""kulcha""",,,,,
"""potato""",,,,,
"""salt""",,,,,
"""sugar""",,,,,
"""vanilla""",,,,,
"""chocolate""",,,,,
"""bhaji""",,,,,
"""pav""",,,,,
"""stir""",,,,,
"""fry""",,,,,
"""bread""",,,,,
"""tomato""",,,,,
"""corn""",,,,,
"""brinjal""",,,,,
"""basil""",,,,,
"""chutney""",,,,,
"""onion""",,,,,
"""zuchhini""",,,,,
"""cabbage""",,,,,
"""flower""",,,,,
"""flavour""",,,,,
"""flavours""",,,,,
"""puri""",,,,,
"""tea""",,,,,
"""coffee""",,,,,
"""espresso""",,,,,
"""cappucino""",,,,,
"""lemon""",,,,,
"""fruits""",,,,,
"""fruit""",,,,,
"""mango""",,,,,
"""orange""",,,,,
"""apple""",,,,,
"""banana""",,,,,
"""juice""",,,,,
"""shake""",,,,,
"""shakes""",,,,,
"""smoothie""",,,,,
"""milk""",,,,,
"""almond""",,,,,
"""almonds""",,,,,
"""nuts""",,,,,
"""nut""",,,,,
"""dry""",,,,,
"""dried""",,,,,
"""dish""",,,,,
"""pineapple""",,,,,
"""pesto""",,,,,
"""pina""",,,,,
"""alfredo""",,,,,
"""pasta""",,,,,
"""bean""",,,,,
"""beans""",,,,,
"""pav""",,,,,
"""bun""",,,,,
"""butter""",,,,,
"""oil""",,,,,
"""ghee""",,,,,
"""mirchi""",,,,,
"""haldi""",,,,,
"""spice""",,,,,
"""spices""",,,,,
"""pepper""",,,,,
"""burnt""",,,,,
"""undercooked""",,,,,
"""overcooked""",,,,,
"""taste""",,,,,
"""tasted""",,,,,
"""tasty""",,,,,
"""samosa""",,,,,
