food,service,ambiance,pricing,hygiene,miscelleanous
"""lobster""",,,,,
"""risotto""",,,,,
"""filet""",,,,,
"""fillet""",,,,,
"""cheeseburger""",,,,,
"""mayo""",,,,,
"""mayonnaise""",,,,,
"""peanuts""",,,,,
"""peanut""",,,,,
"""dressing""",,,,,
"""water""",,,,,
"""seafood""",,,,,
"""barbeque""",,,,,
"""bbq""",,,,,
"""shawarma""",,,,,
"""shwarma""",,,,,
"""spaghetti""",,,,,
"""pancakes""",,,,,
"""starter""",,,,,
"""starters""",,,,,
"""roti""",,,,,
"""naan""",,,,,
"""kulcha""",,,,,
"""paratha""",,,,,
"""lassi""",,,,,
"""chaas""",,,,,
"""kulfi""",,,,,
"""falooda""",,,,,
"""pav bhaji""",,,,,
"""dosa""",,,,,
"""idli""",,,,,
"""sabji""",,,,,
"""vegetables""",,,,,
"""vegetable""",,,,,
"""salad""",,,,,
"""refried beans""",,,,,
"""meal""",,,,,
"""shrimp""",,,,,
"""nachos""",,,,,
"""subway sub""",,,,,
"""vegetables""",,,,,
"""tuna sashimi""",,,,,
"""pizza""",,,,,
"""hamburgers""",,,,,
"""taco""",,,,,
"""entrée""",,,,,
"""tea""",,,,,
"""biscuits""",,,,,
"""chipotle ranch sauce""",,,,,
"""cashew cream""",,,,,
"""brisket""",,,,,
"""pulled pork""",,,,,
"""meat""",,,,,
"""calamari""",,,,,
"""fondue""",,,,,
"""guacamole""",,,,,
"""bread""",,,,,
"""butter""",,,,,
"""buffet""",,,,,
"""strawberry""",,,,,
"""chicken""",,,,,
"""mushroom""",,,,,
"""bagels""",,,,,
"""gyros""",,,,,
"""salsa""",,,,,
"""soup""",,,,,
"""fish""",,,,,
"""oysters""",,,,,
"""pita""",,,,,
"""lobster""",,,,,
"""hot dog""",,,,,
"""bland""",,,,,
"""flavourless""",,,,,
"""margaritas""",,,,,
"""beef""",,,,,
"""egg""",,,,,
"""pasta""",,,,,
"""hummus""",,,,,
"""chinese""",,,,,
"""apple""",,,,,
"""beer""",,,,,
"""drinks""",,,,,
"""sugary""",,,,,
"""rice""",,,,,
"""kitchen""",,,,,
"""entrée""",,,,,
"""papad""",,,,,
"""masala papad""",,,,,
"""masala""",,,,,
"""vietnamese""",,,,,
"""thai""",,,,,
"""lebanese""",,,,,
"""oriental""",,,,,
"""bengali""",,,,,
"""sweets""",,,,,
"""cuisine""",,,,,
"""sake""",,,,,
"""pie""",,,,,
"""pies""",,,,,
"""seltzer""",,,,,
"""quantity""",,,,,
"""noodle""",,,,,
"""noodles""",,,,,
"""dahi""",,,,,
"""cheesecubes""",,,,,
"""cheesecubes""",,,,,
